country,number
Anonymous Proxy,5
Malaysia,4
Portugal,11
Iceland,1
Bahamas,5
Greece,2
Austria,63
Latvia,4
Luxembourg,11
Panama,3
Korea, Republic of,11
Brazil,27
Virgin Islands, British,36
Slovenia,7
Chile,4
Iran, Islamic Republic of,6
Colombia,1
Ecuador,1
Argentina,31
Hungary,11
Europe,233
Japan,60
Ukraine,8
Seychelles,10
India,30
New Zealand,21
Canada,441
Turkey,46
Belgium,40
Moldova, Republic of,1
Finland,15
Taiwan,8
South Africa,38
Trinidad and Tobago,1
Italy,83
Antarctica,1
Georgia,5
Peru,2
Germany,737
Ethiopia,1
Russian Federation,53
Afghanistan,1
Singapore,11
Hong Kong,21
United States,23301
Egypt,3
Thailand,59
Libya,1
Costa Rica,230
Saudi Arabia,3
Netherlands,354
Vietnam,26
Sweden,48
Ireland,117
China,9
Poland,62
Slovakia,9
France,293
Bulgaria,7
Serbia,3
Bosnia and Herzegovina,3
Croatia,8
Romania,25
Uruguay,1
Philippines,1
Rwanda,1
Holy See (Vatican City State),5
United Kingdom,1076
Switzerland,131
Spain,148
Czech Republic,27
Bangladesh,1
Barbados,1
Norway,50
Botswana,1
Denmark,41
Mexico,5
Israel,7
Australia,111
Indonesia,27
Estonia,13
