ip,number
204.93.205.6,10
184.30.64.241,2
198.41.208.118,3
198.41.208.117,4
192.95.29.59,7
119.254.16.21,4
97.74.114.136,1
50.63.202.37,1
198.41.208.112,1
82.165.21.216,1
192.254.185.138,1
198.41.208.113,1
87.238.53.111,1
168.223.107.10,1
176.9.125.188,1
23.6.23.105,1
50.63.202.40,1
62.149.140.170,1
192.254.185.140,1
172.231.247.124,2
192.254.185.142,1
23.1.134.95,1
193.48.203.38,1
78.24.131.88,1
173.199.168.238,1
23.21.215.10,1
184.30.64.237,1
134.48.29.23,1
144.53.228.30,2
72.10.36.128,1
69.73.131.148,3
158.85.20.170,1
74.118.78.164,2
37.59.171.179,1
50.63.202.57,3
50.63.202.56,1
162.209.66.55,1
128.199.139.143,1
198.41.208.132,2
23.253.234.128,2
198.41.208.133,3
198.41.208.138,2
184.26.129.243,1
173.236.173.46,1
198.41.208.137,1
199.17.241.161,1
23.218.112.80,5
166.78.45.47,1
23.209.51.157,1
162.209.66.60,1
70.32.89.249,1
162.159.250.206,1
50.63.202.69,3
50.63.202.66,2
69.31.16.136,1
207.224.156.41,6
198.41.208.143,1
194.242.61.126,1
66.39.84.197,1
75.126.67.162,2
198.41.206.5,2
198.61.250.97,5
190.93.247.244,3
162.159.250.219,1
54.243.41.70,1
140.146.23.248,1
54.201.214.237,1
178.18.199.86,1
69.17.166.70,2
194.242.61.188,1
89.167.143.47,4
191.238.32.227,1
89.167.143.46,1
137.135.69.209,2
190.93.247.249,1
69.167.176.216,1
80.68.91.37,3
74.63.160.76,3
23.6.17.42,1
208.78.244.122,1
192.254.185.103,1
95.211.189.199,1
143.95.40.84,1
23.62.62.169,1
74.81.84.122,1
216.182.81.192,5
198.20.67.240,1
137.205.202.88,3
67.222.61.111,1
190.93.247.224,2
94.126.20.26,1
159.253.146.50,1
50.63.202.13,1
50.56.213.90,1
50.63.202.17,1
72.237.252.39,5
208.184.36.42,1
213.126.124.58,1
67.192.246.152,1
89.167.143.67,1
118.88.27.254,1
69.31.16.163,1
89.167.143.66,1
168.58.229.11,1
192.185.31.230,1
91.211.73.234,3
50.57.3.210,1
74.85.130.1,1
23.218.100.86,1
199.230.128.100,1
67.222.61.101,1
80.95.186.222,1
50.22.76.8,1
50.63.202.26,1
69.31.16.177,1
69.31.16.176,1
208.69.122.22,7
108.166.120.147,1
91.109.5.1,1
137.78.164.27,2
208.184.36.39,2
69.31.16.171,1
63.134.229.160,2
173.254.65.72,1
104.130.61.88,1
23.6.23.198,1
64.27.100.73,1
216.65.13.19,1
203.6.168.90,1
67.135.133.134,2
208.68.72.193,5
205.159.145.145,6
212.42.117.66,1
54.225.196.99,1
155.210.5.35,1
74.208.60.55,1
204.232.174.230,1
54.244.242.34,3
192.252.210.226,5
143.95.95.239,1
23.202.249.136,1
74.207.251.122,3
54.86.68.51,1
208.80.184.202,2
193.194.138.109,1
23.1.134.19,1
162.242.206.250,1
91.102.119.196,1
216.69.227.70,2
198.87.208.61,3
23.6.29.40,1
66.62.151.207,1
89.16.186.229,1
46.105.63.239,1
4.30.226.201,1
8.14.113.71,2
63.150.153.118,3
198.41.185.16,1
198.252.109.101,1
199.102.238.194,5
64.135.78.31,4
216.65.13.20,1
108.166.185.131,1
68.191.237.242,1
132.248.9.5,2
152.118.24.30,1
212.95.70.236,1
23.213.227.205,1
64.224.11.216,1
87.124.24.32,1
64.131.119.25,1
130.102.42.205,2
54.208.162.84,9
50.63.41.1,1
204.232.156.155,5
172.232.82.160,1
72.14.178.84,1
109.73.163.191,1
94.199.200.126,1
192.185.117.100,1
202.76.88.130,1
205.234.231.16,1
204.11.50.136,6
87.124.24.40,3
74.208.84.68,4
216.150.240.60,1
136.179.236.205,1
64.50.177.40,1
69.49.188.100,3
136.179.236.209,1
23.13.178.199,1
74.205.112.113,1
202.15.39.182,1
8.20.181.32,1
136.179.236.202,1
216.69.227.88,1
192.99.149.169,1
208.94.237.198,1
208.68.72.140,2
69.31.16.113,1
54.164.96.198,1
198.41.185.43,1
207.250.249.163,1
54.192.18.164,2
69.49.188.134,2
54.241.27.83,1
172.231.247.139,7
91.146.111.26,1
23.56.184.197,1
67.208.32.253,1
200.42.93.137,1
168.144.82.117,1
74.86.230.149,1
69.73.169.7,1
72.249.157.117,3
67.115.155.9,3
69.49.188.122,1
23.196.130.149,1
210.148.108.146,1
193.25.222.204,1
12.180.115.85,1
172.231.198.66,1
54.231.0.164,1
170.110.225.101,1
85.13.146.63,1
66.96.90.80,2
37.188.125.14,1
207.233.122.22,1
165.29.23.153,1
68.171.167.135,1
109.235.49.12,1
199.180.186.64,1
213.181.96.66,1
23.203.157.161,1
209.59.177.16,1
23.253.61.243,1
198.252.98.229,1
130.179.16.50,1
209.123.189.188,1
23.0.54.225,3
23.202.197.103,1
80.69.175.119,1
65.202.222.105,5
208.80.56.11,1
137.54.102.2,1
85.25.156.96,1
167.206.227.50,1
199.192.240.186,1
104.131.247.13,1
208.80.6.139,1
208.68.72.102,1
208.68.72.107,1
94.236.35.26,3
192.91.247.111,2
69.164.223.254,7
209.202.252.50,3
23.47.48.135,7
147.251.48.1,1
204.97.104.2,2
173.203.18.247,2
67.228.184.204,1
72.1.97.155,2
213.95.206.42,1
23.44.115.134,1
23.23.161.102,2
54.247.67.88,1
99.192.247.251,2
23.202.197.116,1
199.254.137.67,2
193.164.220.225,1
104.20.5.17,1
208.131.139.235,1
50.19.102.73,1
109.228.0.123,1
184.106.55.84,2
184.106.55.83,2
209.202.252.41,2
198.176.29.138,1
184.106.55.86,2
68.168.102.145,1
23.6.91.50,1
188.213.24.161,2
176.34.236.255,1
69.164.223.248,2
68.76.213.203,1
18.7.25.40,2
67.225.137.102,1
69.163.209.142,1
