country,number
Gibraltar,1
Anonymous Proxy,5
Malaysia,16
Portugal,14
Iceland,3
Bahamas,5
Greece,8
Cayman Islands,1
Armenia,2
Austria,56
Latvia,7
Panama,11
Luxembourg,22
Brazil,58
Korea, Republic of,11
Virgin Islands, British,20
Algeria,1
Slovenia,11
Jersey,3
Chile,6
Iran, Islamic Republic of,6
Colombia,1
Argentina,36
Hungary,31
Europe,172
Japan,115
Isle of Man,1
Ukraine,15
Seychelles,6
Belize,1
Belarus,1
Bahrain,1
India,64
New Zealand,20
Canada,609
Turkey,66
Belgium,52
Moldova, Republic of,2
Namibia,2
Finland,15
Taiwan,20
Italy,113
Trinidad and Tobago,2
South Africa,42
Georgia,1
Peru,3
Germany,870
Russian Federation,47
Puerto Rico,3
Afghanistan,1
Singapore,21
Hong Kong,28
United States,29901
Egypt,1
Thailand,42
Costa Rica,239
Saudi Arabia,1
Netherlands,434
Sweden,72
Vietnam,45
Pakistan,2
China,32
Ireland,139
Qatar,1
Poland,53
Satellite Provider,2
Slovakia,10
France,362
Bulgaria,14
Lithuania,2
Serbia,2
Bosnia and Herzegovina,4
Croatia,4
Romania,25
Syrian Arab Republic,1
Philippines,2
Holy See (Vatican City State),5
United Kingdom,1367
United Arab Emirates,1
Switzerland,94
Spain,136
Venezuela,2
Azerbaijan,3
Czech Republic,45
Norway,51
Botswana,1
Denmark,52
Dominican Republic,1
Mexico,9
Israel,7
Australia,144
Indonesia,27
Estonia,9
