ip,number
72.51.52.15,1
198.74.57.167,1
204.93.205.6,4
216.194.161.236,1
23.7.49.158,2
50.63.202.32,2
184.30.64.241,2
139.94.97.208,1
50.63.202.35,1
198.41.208.117,4
192.95.29.59,5
50.63.202.33,2
108.167.180.85,5
5.145.168.97,1
69.31.16.147,1
50.63.202.38,1
198.74.57.165,1
72.9.149.252,1
172.232.64.111,1
69.31.16.146,1
198.41.208.112,1
173.254.28.98,2
69.31.16.145,2
198.41.208.113,6
190.93.247.205,1
129.101.105.230,1
23.253.146.174,1
50.63.202.42,3
50.63.202.40,1
172.231.200.100,2
193.164.202.141,1
125.6.146.14,1
202.71.110.88,3
67.202.114.133,1
69.31.16.153,2
104.28.24.124,1
193.48.203.38,1
50.63.202.54,1
144.53.228.30,7
96.16.147.60,1
198.61.250.72,2
50.63.202.51,2
74.118.78.164,4
50.63.202.57,3
50.63.202.56,1
50.63.202.59,1
198.41.208.132,3
69.31.16.122,1
23.218.136.53,1
184.84.68.9,1
23.253.234.128,1
62.149.140.197,1
198.41.208.133,3
69.31.16.120,1
89.167.143.23,2
89.167.143.24,2
198.41.208.137,1
64.141.189.17,3
166.78.45.47,1
72.3.174.80,3
162.159.250.202,2
162.159.250.207,1
50.63.202.65,1
69.31.16.136,1
69.31.16.138,1
104.236.123.12,1
207.224.156.41,6
192.254.185.123,1
54.225.86.116,1
194.242.61.126,1
104.28.24.104,4
49.156.27.74,1
217.116.232.208,1
162.159.250.214,2
63.111.14.171,1
198.41.206.5,1
190.93.247.244,3
162.159.250.219,11
198.103.247.101,2
178.18.199.86,1
69.17.166.70,2
46.183.12.151,1
50.57.203.194,1
209.172.240.25,1
76.8.216.94,3
52.2.234.180,1
74.63.160.76,1
54.191.8.244,1
166.78.121.28,1
192.245.221.205,1
205.196.211.52,1
192.185.78.224,1
74.84.206.74,1
64.34.174.20,1
137.205.202.88,5
54.76.162.186,1
208.184.36.42,3
23.78.252.167,1
69.31.16.162,2
169.229.216.200,1
69.31.16.161,1
69.31.16.160,2
157.112.149.5,1
216.152.130.9,1
193.203.119.83,1
69.31.16.177,1
69.31.16.176,1
62.149.169.174,1
54.206.105.245,1
96.47.220.239,1
70.40.136.224,1
208.184.36.39,2
63.134.229.160,1
54.210.218.208,1
172.231.247.197,1
23.6.23.198,1
64.27.100.73,1
162.159.250.253,1
192.240.184.140,1
208.68.72.193,2
205.159.145.145,4
23.197.173.195,1
23.202.220.189,1
212.42.117.66,1
208.43.117.175,1
199.124.60.58,1
23.73.66.217,1
204.232.174.230,2
141.211.243.44,1
172.231.255.7,2
144.174.39.19,1
173.255.206.62,1
128.86.237.181,1
67.212.81.42,2
23.6.23.180,1
54.206.100.71,1
54.187.48.86,2
192.252.210.226,3
23.6.17.90,1
74.207.251.122,3
23.6.17.95,1
193.194.138.109,3
23.21.252.47,1
23.6.66.14,3
216.69.227.70,3
198.87.208.61,3
