Username,Repos
vim-scripts,3374
emacsmirror,1433
emacsattic,473
foswiki,453
jenkinsci,429
Epictetus,322
rjbs,267
albertobraschi,260
tokuhirom,238
rafl,238
idega,228
strogo,228
bestpractical,202
brownman,200
apache,196
nothingmuch,189
rainly,188
edavis10,187
jrockway,185
wave2future,183
kristianmandrup,183
smtlaissezfaire,175
textmate,163
rowboat,161
Br3nda,160
jsjohnst,158
bitweaver,158
minitage-dependencies,156
bingos,154
halorgium,152
drnic,151
CyanogenMod,144
bobtfish,142
avar,140
LuaDist,134
miyagawa,127
johnantoni,127
saturnflyer,122
technicalpickles,121
ingydotnet,118
ujihisa,118
mono,118
dustin,117
perigrin,117
mattn,117
SixArm,116
rwaldron,114
simplegeo,113
mattetti,113
doy,113
auser,112
robertkrimen,112
melo,111
bmizerany,110
fizx,109
gaosp,108
grosser,107
isaacs,107
endevver,106
ddollar,106
stinie,103
schacon,103
Andproject,103
jackdempsey,102
jugyo,101
rdp,100
xpresso,100
dev2dev,99
rkabir,98
android,96
thinkphp,96
yappo,95
koush,94
certik,93
genki,93
mozilla,93
dagolden,91
JackDanger,91
brosner,91
c9s,91
gugod,89
allanfreitas,89
trapd00r,89
dcrec1,89
chorny,88
seattlerb,88
halfbyte,88
lestrrat,88
aslakhellesoy,88
wycats,88
typester,87
icblenke,86
TekNoLogic,86
sr,86
reinh,84
FrancisVarga,84
eric,83
collin,83
BenHall,83
RussianFedora,83
jamesgolick,82
nakajima,81
beepscore,81
mtodd,80
rootart,80
defunkt,80
shingara,80
tegatai,79
tswicegood,79
substack,79
collectiveidea,78
weplay,78
jtimberman,78
tenderlove,77
pkrumins,77
bkerley,77
kana,77
bjeanes,76
subtleGradient,76
atiw003,76
maiha,75
palava,75
roidrage,75
atmos,74
Shadowed,73
fcoury,73
dhoss,73
lancejpollard,73
ornicar,72
plexinc-plugins,72
foca,72
kastner,72
AndyA,72
joevandyk,71
djberg96,71
byrnereese,71
hdp,71
kentfredric,71
jashmenn,71
reddavis,71
quirkey,70
ahoward,70
millisami,70
ELLIOTTCABLE,70
miracle2k,70
unders,69
dancor,69
sebastien85,69
saimonmoore,69
captproton,69
collective,69
Evervolv,69
smith,69
mak1e,69
adamwiggins,68
tyru,68
jakewendt,68
yanick,68
developmentseed,68
alphabetum,68
raggi,68
gfx,68
jdunck,68
maccman,68
technoweenie,67
jchris,67
alx,67
Empact,67
craigw,67
evadne,67
hugowetterberg,67
thewoolleyman,66
mdornseif,66
davglass,66
richardc,66
fasterthanlime,66
dbalatero,66
Sophrinix,66
svenfuchs,66
loe,66
xiongchiamiov,65
imrehg,65
jeroenvandijk,65
caius,65
henrik,64
sonatype,64
paul,64
mnutt,64
dreamcat4,64
Pistos,64
jmhodges,64
eladmeidar,64
astro,63
hassox,63
bryanwoods,63
rkh,63
nofxx,63
cpanservice,63
tricycle,63
stepheneb,63
joshbuddy,62
postmodern,62
taf2,62
rubyworks,62
straup,62
baroquebobcat,62
akitaonrails,62
eklitzke,62
pronix,62
jamesdaniels,62
gijs,61
francois,61
ntulip,61
cosmocode,61
Gozala,61
tjweir,61
minhajuddin,61
jm,61
bsingr,61
toy,61
brontes3d,61
justquick,61
softprops,60
mikeal,60
rsms,60
atduskgreg,60
spencertipping,60
jmhobbs,60
rjp,60
myronmarston,60
progrium,60
alloy,60
benoitc,60
peterarmstrong,60
viking,60
botanicus,60
caelum,60
bauhouse,60
jasherai,59
splitbrain,59
antimatter15,59
rleber,59
jozef,59
apparentlymart,59
saga,59
briandfoy,59
burke,59
mikehale,59
jeapostrophe,59
marfarma,59
bhushangahire,59
yortz,59
twilson63,58
methodmissing,58
jgoerzen,58
singpolyma,58
knewter,58
icco,58
codemuseum,58
rtyler,58
hemanth,58
leto,58
symphonists,58
ekmett,58
BrianTheCoder,58
cyx,58
duckinator,58
timfel,58
djanowski,58
cho45,57
thmghtd,57
rblackwe,57
jackowayed,57
cldwalker,57
spatten,57
codelurker,57
darkseed,57
timcharper,57
jmettraux,57
dann,57
piroor,56
mislav,56
MarcWeber,56
cvpcs,56
bricas,56
luaforge,56
fnando,56
joebushi,56
svetlyak40wt,56
hone,55
capotej,55
creationix,55
sigmike,55
skyl,55
technomancy,55
zhaque,55
adamhjk,55
smeserver,55
frozenskys,55
praekelt,55
andreyvit,55
dcramer,55
sinefunc,55
kennethreitz-archive,55
welterde,55
danopia,54
maxogden,54
ngerakines,54
alexyoung,54
tmm1,54
pelle,54
mrchrisadams,54
vanntastic,54
fishman,54
yhara,54
jkrall,54
thincloud,54
CodeOfficer,54
robotarmy,54
arnaudsj,54
timbertson,54
eventualbuddha,54
jomz,54
chrisdickinson,53
btakita,53
jeffrafter,53
jnicklas,53
patmaddox,53
Flameeyes,53
eadz,53
simonw,53
mattscilipoti,53
geetfun,53
voxpelli,53
charles-cai,53
Narnach,53
tjgillies,53
qmx,52
akaihola,52
nex3,52
ZhangHanDong,52
gphat,52
jeffmccune,52
chriseppstein,52
intridea,52
nelstrom,52
gonzojive,52
abh,52
vti,51
sunlightlabs,51
cmelbye,51
frioux,51
ogawa,51
acdha,51
gilesbowkett,51
Fingertips,51
fajran,51
factorylabs,51
sumitk,51
jcoglan,51
shokai,51
ncb000gt,51
haifeng,51
tekimaki,51
railsmachine,51
ghoneycutt,51
thillerson,51
deadlyicon,51
defunct,51
wolfc,51
schwern,51
dchelimsky,51
jacques,50
codepo8,50
manveru,50
bluedynamics,50
rentzsch,50
hashrocket,50
jaz303,50
teejayvanslyke,50
nborwankar,50
deadprogram,50
dawehner,50
hefox,50
balinterdi,50
aptana,50
bmabey,50
honkster,50
rwilcox,49
jamslevy,49
andmej,49
topfunky,49
komagata,49
hadley,49
jacquescrocker,49
crazycode,49
mikejs,49
hirose31,49
Soleone,49
davorg,49
sgonyea,49
lachie,49
maddox,49
zeke,49
qrush,49
tuquito,49
rcrowley,48
kennethkalmer,48
franckcuny,48
batterseapower,48
relevance,48
voodootikigod,48
flavorjones,48
till,48
expectedbehavior,48
brynary,48
avdi,48
zapnap,48
hitode909,48
johan,48
robmyers,48
matthew-brett,48
anotherjesse,48
benschwarz,48
frameos,48
merbjedi,48
stefanpenner,48
psychoticmeowArchives,48
camptocamp,48
TylerRick,48
kematzy,48
pat,48
threedaymonk,47
amiel,47
bhirsch,47
philippbosch,47
miyamuko,47
cosimo,47
unart-vibundle,47
calavera,47
devyn,47
tomtom,47
tlrobinson,47
mkhl,47
wested,47
timburks,47
sgrove,47
gray,47
freenet,46
kstephens,46
mojodna,46
